PurchaseID,No Nota,SupplierID,TransactionDate,Remarks,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy
328,266,79,2013-09-30,,2018-05-02,Admin,,
329,1919,79,2013-09-20,,2018-05-02,Admin,,
330,1911,79,2013-09-17,,2018-05-02,Admin,,
331,1738,79,2013-09-14,,2018-05-02,Admin,,
332,1710,79,2013-09-12,,2018-05-02,Admin,,
333,1640,79,2013-09-11,,2018-05-02,Admin,,
334,1411,79,2013-09-04,,2018-05-02,Admin,,
335,1847,79,2013-08-31,,2018-05-02,Admin,,
336,1824,79,2013-08-24,,2018-05-02,Admin,,
337,959,79,2013-08-22,,2018-05-02,Admin,,
338,1811,79,2013-08-22,,2018-05-02,Admin,,
339,1029,79,2013-07-04,,2018-05-02,Admin,,
340,858,79,2013-06-27,,2018-05-02,Admin,,
341,1806,79,2013-07-21,,2018-05-02,Admin,,
342,1917,79,2013-07-25,,2018-05-02,Admin,,
343,1805,79,2013-07-21,,2018-05-02,Admin,,
344,1361,79,2013-07-11,,2018-05-02,Admin,,
345,1394,79,2013-07-10,,2018-05-02,Admin,,
346,475,79,2013-08-16,,2018-05-02,Admin,,
347,NOTA KETINGGALAN,79,2013-07-01,,2018-05-02,Admin,,
348,1563,79,2003-07-26,,2018-05-02,Admin,,
349,306,79,2013-10-23,,2018-05-02,Admin,,
350,326,79,2013-10-29,,2018-05-02,Admin,,
351,217,79,2013-11-06,,2018-05-02,Admin,,
352,NA20131029,79,2013-10-29,,2018-05-02,Admin,,
353,1812,79,2013-10-28,,2018-05-02,Admin,,
354,1672,79,2013-11-18,,2018-05-02,Admin,,
355,179,79,2013-11-18,,2018-05-02,Admin,,
356,202,79,2013-11-04,,2018-05-02,Admin,,
357,279,79,2013-12-20,,2018-05-02,Admin,,
358,NA20150429,79,2015-04-29,,2018-05-02,Admin,,
359,198,80,2013-11-22,,2018-05-02,Admin,,
360,120,80,2013-11-25,,2018-05-02,Admin,,
361,134,80,2013-11-27,,2018-05-02,Admin,,
362,473,80,2013-12-02,,2018-05-02,Admin,,
363,375,80,2013-12-12,,2018-05-02,Admin,,
364,NA20150806,83,2015-08-06,,2018-05-02,Admin,,
365,VR15100326,85,2015-10-09,,2018-05-02,Admin,,
366,VR15100327,85,2015-10-09,,2018-05-02,Admin,,
367,VA15110045,85,2015-11-24,,2018-05-02,Admin,,
368,VA15110046,85,2015-11-24,,2018-05-02,Admin,,
369,018699/14,86,2014-09-09,,2018-05-02,Admin,,
370,018702/14,86,2014-09-09,,2018-05-02,Admin,,
371,018700/14,86,2014-09-09,,2018-05-02,Admin,,
372,009047/14,86,2014-04-21,,2018-05-02,Admin,,
373,004724/14,86,2014-02-17,,2018-05-02,Admin,,
374,002159/14,86,2014-01-11,,2018-05-02,Admin,,
375,002164/14,86,2014-01-11,,2018-05-02,Admin,,
376,002167/14,86,2014-01-11,,2018-05-02,Admin,,
377,002169/14,86,2014-01-11,,2018-05-02,Admin,,
378,002169/15,86,2014-01-11,,2018-05-02,Admin,,
379,002169/16,86,2014-01-11,,2018-05-02,Admin,,
380,002169/17,86,2014-01-11,,2018-05-02,Admin,,
381,002169/18,86,2014-01-11,,2018-05-02,Admin,,
382,002169/19,86,2014-01-11,,2018-05-02,Admin,,
383,002169/20,86,2014-01-11,,2018-05-02,Admin,,
384,002169/21,86,2014-01-11,,2018-05-02,Admin,,
385,002169/22,86,2014-01-11,,2018-05-02,Admin,,
386,002169/23,86,2014-01-11,,2018-05-02,Admin,,
387,002169/24,86,2014-01-11,,2018-05-02,Admin,,
388,002169/25,86,2014-01-11,,2018-05-02,Admin,,
389,002172/14,86,2014-01-11,,2018-05-02,Admin,,
390,002172/15,86,2014-01-11,,2018-05-02,Admin,,
391,002172/16,86,2014-01-11,,2018-05-02,Admin,,
392,002172/17,86,2014-01-11,,2018-05-02,Admin,,
393,002172/18,86,2014-01-11,,2018-05-02,Admin,,
394,002172/19,86,2014-01-11,,2018-05-02,Admin,,
395,002172/20,86,2014-01-11,,2018-05-02,Admin,,
396,002172/21,86,2014-01-11,,2018-05-02,Admin,,
397,002172/22,86,2014-01-11,,2018-05-02,Admin,,
398,002172/23,86,2014-01-11,,2018-05-02,Admin,,
399,002172/24,86,2014-01-11,,2018-05-02,Admin,,
400,002172/25,86,2014-01-11,,2018-05-02,Admin,,
401,002174/14,86,2014-01-11,,2018-05-02,Admin,,
402,002174/15,86,2014-01-11,,2018-05-02,Admin,,
403,002174/16,86,2014-01-11,,2018-05-02,Admin,,
404,002174/17,86,2014-01-11,,2018-05-02,Admin,,
405,002174/18,86,2014-01-11,,2018-05-02,Admin,,
406,002174/19,86,2014-01-11,,2018-05-02,Admin,,
407,002174/20,86,2014-01-11,,2018-05-02,Admin,,
408,002174/21,86,2014-01-11,,2018-05-02,Admin,,
409,002174/22,86,2014-01-11,,2018-05-02,Admin,,
410,002174/23,86,2014-01-11,,2018-05-02,Admin,,
411,003284/14,86,2014-01-28,,2018-05-02,Admin,,
412,003285/14,86,2014-01-28,,2018-05-02,Admin,,
413,094358/13,86,2013-09-09,,2018-05-02,Admin,,
414,092937/13,86,2013-08-21,,2018-05-02,Admin,,
415,092938/13,86,2013-08-21,,2018-05-02,Admin,,
416,092940/13,86,2013-08-21,,2018-05-02,Admin,,
417,092941/13,86,2013-08-21,,2018-05-02,Admin,,
418,092942/13,86,2013-08-21,,2018-05-02,Admin,,
419,092943/13,86,2013-08-21,,2018-05-02,Admin,,
420,090926/13,86,2013-07-11,,2018-05-02,Admin,,
421,090930/13,86,2013-07-11,,2018-05-02,Admin,,
422,088782/13,86,2013-06-07,,2018-05-02,Admin,,
423,088783/13,86,2013-06-07,,2018-05-02,Admin,,
424,088784/13,86,2013-06-07,,2018-05-02,Admin,,
425,088785/13,86,2013-06-07,,2018-05-02,Admin,,
426,088786/13,86,2013-06-07,,2018-05-02,Admin,,
427,088788/13,86,2013-06-07,,2018-05-02,Admin,,
428,088790/13,86,2013-06-07,,2018-05-02,Admin,,
429,088791/13,86,2013-06-07,,2018-05-02,Admin,,
430,088792/13,86,2013-06-07,,2018-05-02,Admin,,
431,088794/13,86,2013-06-07,,2018-05-02,Admin,,
432,088796/13,86,2013-06-07,,2018-05-02,Admin,,
433,088798/13,86,2013-06-07,,2018-05-02,Admin,,
