PurchaseID;PurchaseNumber;SupplierID;TransactionDate;PaymentTypeID;Deadline;Remarks;CreatedDate;CreatedBy;ModifiedDate;ModifiedBy
350;HH713;7;2016-10-29;1;;;2018-08-21;Admin1;;
351;J 1186;7;2016-10-29;1;;;2018-08-21;Admin1;;
352;H418;7;2016-03-29;1;;;2018-08-21;Admin1;;
353;H1871;7;2016-04-29;1;;;2018-08-21;Admin1;;
354;G424;7;2016-05-29;1;;;2018-08-21;Admin1;;
355;T29916;7;2016-09-29;1;;;2018-08-21;Admin1;;
356;100632;7;2016-07-31;1;;;2018-08-21;Admin1;;
357;336;7;2016-07-31;1;;;2018-08-21;Admin1;;
358;337;7;2016-07-31;1;;;2018-08-21;Admin1;;
359;F0226;29;2015-04-01;1;;;2018-08-21;Admin1;;
360;F0227;29;2015-04-01;1;;;2018-08-21;Admin1;;
361;J001646;29;2016-10-06;1;;;2018-08-21;Admin1;;
362;G000161;29;2016-01-05;1;;;2018-08-21;Admin1;;
363;G000158;29;2016-01-05;1;;;2018-08-21;Admin1;;
364;HH00895;29;2016-12-05;1;;;2018-08-21;Admin1;;
365;F0464;29;2015-05-02;1;;;2018-08-21;Admin1;;
366;G000989;29;2016-02-05;1;;;2018-08-21;Admin1;;
367;A1797;29;2015-06-05;1;;;2018-08-21;Admin1;;
368;910;29;2016-02-06;1;;;2018-08-21;Admin1;;
369;33777;29;2015-03-06;1;;;2018-08-21;Admin1;;
370;H92;29;2016-05-07;1;;;2018-08-21;Admin1;;
371;C0426;29;2015-09-02;1;;;2018-08-21;Admin1;;
372;15082400004;24;2015-08-24;1;;;2018-08-21;Admin1;;
373;YGY05968;24;2015-07-07;1;;;2018-08-21;Admin1;;
374;16051700527;24;2016-05-17;1;;;2018-08-21;Admin1;;
375;smg01020/f16;24;2016-12-21;1;;;2018-08-21;Admin1;;
376;5062;24;2016-01-14;1;;;2018-08-21;Admin1;;
377;1310;24;2015-01-17;1;;;2018-08-21;Admin1;;
378;1526;24;2015-05-02;1;;;2018-08-21;Admin1;;
379;3925;24;2015-09-28;1;;;2018-08-21;Admin1;;
380;7577;24;2016-03-09;1;;;2018-08-21;Admin1;;
381;5981;24;2016-04-09;1;;;2018-08-21;Admin1;;
382;vr15080226;24;2015-06-08;1;;;2018-08-21;Admin1;;
383;vr15080201;29;2015-06-08;1;;;2018-08-21;Admin1;;
384;ak15080010;30;2015-06-08;1;;;2018-08-21;Admin1;;
385;VR16100354;30;2016-10-18;1;;;2018-08-21;Admin1;;
386;vr16050356;30;2016-05-11;1;;;2018-08-21;Admin1;;
387;FR1610203;30;2016-01-15;1;;;2018-08-21;Admin1;;
388;DJ16100743;30;2016-10-17;1;;;2018-08-21;Admin1;;
389;VR16020683;30;2016-02-17;1;;;2018-08-21;Admin1;;
390;FR16200273;30;2016-10-18;1;;;2018-08-21;Admin1;;
391;VR16030577;30;2016-03-18;1;;;2018-08-21;Admin1;;
392;FR16110324;30;2016-10-11;1;;;2018-08-21;Admin1;;
393;VR16110749;30;2016-11-19;1;;;2018-08-21;Admin1;;
394;VR16110753;31;2016-11-19;1;;;2018-08-21;Admin1;;
395;vr16120677;31;2016-12-21;1;;;2018-08-21;Admin1;;
396;VR16060903;31;2016-06-21;1;;;2018-08-21;Admin1;;
397;VR16060904;31;2016-06-21;1;;;2018-08-21;Admin1;;
398;VR16060911;31;2016-06-21;1;;;2018-08-21;Admin1;;
399;FR16010269;31;2016-01-22;1;;;2018-08-21;Admin1;;
400;VR16010874;33;2016-01-23;1;;;2018-08-21;Admin1;;
401;VR16010876;33;2016-01-22;1;;;2018-08-21;Admin1;;
402;VR16010915;33;2016-01-22;1;;;2018-08-21;Admin1;;
403;vr16040762;33;2016-04-22;1;;;2018-08-21;Admin1;;
404;FR16110358;33;2016-11-23;1;;;2018-08-21;Admin1;;
405;VR16110834;33;2016-11-23;1;;;2018-08-21;Admin1;;
406;VR16090827;33;2016-09-23;1;;;2018-08-21;Admin1;;
407;VA15110045;15;2015-11-24;1;;;2018-08-21;Admin1;;
408;VA15110046;15;2015-11-24;1;;;2018-08-21;Admin1;;
409;VR16030899;15;2016-03-24;1;;;2018-08-21;Admin1;;
410;VR16050971;15;2016-05-25;1;;;2018-08-21;Admin1;;
411;OJ16101421;15;2016-10-31;1;;;2018-08-21;Admin1;;
412;VR16030102;15;2016-03-03;1;;;2018-08-21;Admin1;;
413;VR16080082;15;2016-03-08;1;;;2018-08-21;Admin1;;
414;VR16020256;15;2016-02-05;1;;;2018-08-21;Admin1;;
415;VR15040081;15;2016-04-05;1;;;2018-08-21;Admin1;;
416;VR16100232;15;2016-10-07;1;;;2018-08-21;Admin1;;
417;VR15040233;15;2016-04-07;1;;;2018-08-21;Admin1;;
418;FR16040063;15;2016-04-07;1;;;2018-08-21;Admin1;;
419;VR16050292;15;2016-05-09;1;;;2018-08-21;Admin1;;
420;16 071900262;15;2016-07-19;1;;;2018-08-21;Admin1;;
421;16 012300810;15;2016-01-23;1;;;2018-08-21;Admin1;;
422;YGYSUR190/TI;15;2016-10-28;1;;;2018-08-21;Admin1;;
423;16 012801047;15;2016-01-28;1;;;2018-08-21;Admin1;;
424;16 020400106;15;2016-02-04;1;;;2018-08-21;Admin1;;
425;16 020500152;15;2016-02-05;1;;;2018-08-21;Admin1;;
426;16040600152;15;2016-04-06;1;;;2018-08-21;Admin1;;
427;YGYSUR180/TI;15;2016-11-08;1;;;2018-08-21;Admin1;;
428;F1777;15;2015-12-11;1;;;2018-08-21;Admin1;;
429;FR16010203;15;2016-01-15;1;;;2018-08-21;Admin1;;
430;G000752;15;2016-01-21;1;;;2018-08-21;Admin1;;
431;VR15120988;15;2015-12-28;1;;;2018-08-21;Admin1;;
432;VR16010058;32;2016-01-05;1;;;2018-08-21;Admin1;;
433;VR16010018;32;2016-01-05;1;;;2018-08-21;Admin1;;
434;VR15100326;32;2015-10-09;1;;;2018-08-21;Admin1;;
435;VR15100327;32;2015-10-09;1;;;2018-08-21;Admin1;;
