PurchaseDetailsID;PurchaseID;ItemID;ItemDetailsID;BranchID;Quantity;BuyPrice;RetailPrice;Price1;Price2;CreatedDate;CreatedBy;ModifiedDate;ModifiedBy
4273;680;4225;;1;5;880;1200;0;0;2018-08-21;Admin1;;
4274;681;4226;;1;5;1800;2400;0;0;2018-08-21;Admin1;;
4275;681;4227;;1;100;200;500;0;0;2018-08-21;Admin1;;
4276;681;4228;;1;100;200;500;0;0;2018-08-21;Admin1;;
4277;682;4229;;1;2;10400;14000;0;0;2018-08-21;Admin1;;
4278;683;4230;;1;1;27600;37000;0;0;2018-08-21;Admin1;;
4279;683;4231;;1;1;27600;37000;0;0;2018-08-21;Admin1;;
4280;683;4232;;1;1;48800;65000;0;0;2018-08-21;Admin1;;
4281;683;4233;;1;1;48800;65000;0;0;2018-08-21;Admin1;;
4282;683;4234;;1;1;70000;94500;0;0;2018-08-21;Admin1;;
4283;683;4235;;1;1;91200;123000;0;0;2018-08-21;Admin1;;
4284;683;4236;;1;1;19200;26000;0;0;2018-08-21;Admin1;;
4285;683;4237;;1;1;19200;26000;0;0;2018-08-21;Admin1;;
4286;684;4238;;1;1;20000;27000;0;0;2018-08-21;Admin1;;
4287;684;4239;;1;1;19200;26000;0;0;2018-08-21;Admin1;;
4288;682;4240;;1;2;8000;10500;0;0;2018-08-21;Admin1;;
4289;684;4241;;1;1;19200;26000;0;0;2018-08-21;Admin1;;
4290;684;4242;;1;1;19200;26000;0;0;2018-08-21;Admin1;;
4291;684;4243;;1;1;19200;26000;0;0;2018-08-21;Admin1;;
4292;684;4244;;1;1;19200;26000;0;0;2018-08-21;Admin1;;
4293;684;4245;;1;1;20000;27000;0;0;2018-08-21;Admin1;;
4294;684;4246;;1;1;39600;53000;0;0;2018-08-21;Admin1;;
4295;682;4247;;1;2;7200;9500;0;0;2018-08-21;Admin1;;
4296;682;4248;;1;2;7200;9500;0;0;2018-08-21;Admin1;;
4297;682;4249;;1;2;4720;6300;0;0;2018-08-21;Admin1;;
4298;682;4250;;1;2;6000;8000;0;0;2018-08-21;Admin1;;
4299;682;4251;;1;2;8000;11000;0;0;2018-08-21;Admin1;;
4300;680;4252;;1;2;6000;8000;0;0;2018-08-21;Admin1;;
4301;685;4253;;1;2;28500;39900;0;0;2018-08-21;Admin1;;
4302;685;4254;;1;2;19950;27930;0;0;2018-08-21;Admin1;;
4303;686;4255;;1;2;31800;44520;0;0;2018-08-21;Admin1;;
